"","...1","category","name","reviewer","review","date","ratings"
"1",1,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Keef - Bristol","Ive bought a few diff pillows, trying to get the ''just right'' feeling... These are wonderful, super soft yet a little bouncy.. my neck pain is finally easing after over a year of neck pain, and I know its related to my pillows as I was going to bed ok and each morning... stiff neck and eventually painful.. these are perfect and great value..","Reviewed in the United Kingdom on 18 January 2024","4.4 out of 5 stars"
"2",2,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","S","Lasts long before getting outdated and old","Reviewed in the United Kingdom on 2 March 2024","5.0 out of 5 stars"
"3",3,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Keef - Bristol","They're good. Soft, comfy. They bounce back. Thinner than I thought they would be though. Good price.","Reviewed in the United Kingdom on 18 January 2024","3.0 out of 5 stars"
"4",4,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Monica Khan","Very comfortable pillows nice and firm great value","Reviewed in the United Kingdom on 21 February 2024","5.0 out of 5 stars"
"5",5,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Lee","Expensive product and the length seems shorter than average pillows.Not stuffed very much so quite flat even after buffing them up.I got the 6 pack for £50ish and once laid on top of each other it’s more like I’ve got 4 normal pillows.Disappointed.","Reviewed in the United Kingdom on 9 January 2024","5.0 out of 5 stars"
"6",6,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Brian meldrum","Nice soft pillows that are keeping there shape","Reviewed in the United Kingdom on 28 February 2024","4.0 out of 5 stars"
"7",7,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","S","Lovely springy pillows, good value","Reviewed in the United Kingdom on 2 March 2024","5.0 out of 5 stars"
"8",8,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Monroe","The pillows are nice and soft which is great for my head, however the pillows look nothing alike the pictures I’m thinking maybe these are standard ultrabounce rather than luxury…","Reviewed in the United Kingdom on 8 March 2024","3.0 out of 5 stars"
"9",9,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","love to shop","Good pillows a little soft for my liking but that just my preference","Reviewed in the United Kingdom on 29 February 2024","5.0 out of 5 stars"
"10",10,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Joe","Fantastic item for my sleeping needs","Reviewed in the United Kingdom on 29 November 2023","5.0 out of 5 stars"
"11",11,"Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","Keef - Bristol","Ive bought a few diff pillows, trying to get the ''just right'' feeling... These are wonderful, super soft yet a little bouncy.. my neck pain is finally easing after over a year of neck pain, and I know its related to my pillows as I was going to bed ok and each morning... stiff neck and eventually painful.. these are perfect and great value..","Reviewed in the United Kingdom on 18 January 2024","4.4 out of 5 stars"
