"","category","name","price","ratings","no_of_reviews"
"1","Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","£10.80","4.4 out of 5 stars","30,787"
"2","Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","£5.40","4.4 out of 5 stars","27,825"
"3","Pillow","GIFTIMIZED Luxury Quilted Pillows Pack Hotel Quality Soft Bounce Back Cover Premium Filled Medium/Firm Support Anti-Allergy Anti-Dustmite (2 Pillows)","£15.29","4.6 out of 5 stars","8"
"4","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","£22.49","4.4 out of 5 stars","8,932"
"5","Pillow","Sofslee Pillows 2 Pack, Hotel Pillows of 2, Hypoallergenic Bed Pillows for Neck Pain, Luxury Sleeping Pillows for Side and Back Sleepers, Down Alternative Fluffy Soft Pillow Standard Size 42 x 70cm","£5.62","4.5 out of 5 stars","42"
"6","Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","£28.80","4.5 out of 5 stars","10,235"
"7","Pillow","Molblly Pillows 2 Pack Shredded Memory Foam Pillow, Cooing Pillows for Sleeping,Hypoallergenic Hotel Bed Pillows Pillows for Neck and Shoulder Pain,Standard Size Washable (51 * 66,1 Pair)","£11.99","4.4 out of 5 stars","885"
"8","Pillow","MH Home Pillows 2 Pack, Soft Support Bounce To Back Hotel Quality Extra Filling Bed Designed For Front, Side And Sleeper, Body","£18.45","4.1 out of 5 stars","3,165"
"9","Pillow","CompuClever Shredded Memory Foam Pillows for Sleeping Cooling Bed Pillow with Adjustable Loft Hypoallergenic Bed Pillows for Side and Back Sleepers Washable Removable Derived Rayon Cover (1-Pack)","£9.23","4.3 out of 5 stars","941"
"10","Pillow","HOMEFOUCS Luxury Goose Feather and Down Pillows, pack of 2 100% Cotton Shell, Non-allergenic & Anti dust mite, Soft Hotel Quality Pillows (40% Down)","£21.60","4.3 out of 5 stars","2,536"
"11","Pillow","Utopia Bedding Pillows 2 Pack Queen Size, (Navy) Hotel Quality Pillows, Brushed Fabric, Bed Pillow for Back, Stomach or Side Sleepers - 18"" x 26"" / 45 x 66 cm","£29.16","4.5 out of 5 stars","4,819"
"12","Pillow","Molblly Sleeping Pillows,Shredded Memory Foam Pillow,Best Orthopedic Sleeping Pillow Non-allergenic & Anti dust mite,Soft Hotel Quality Pillows,Standard Size(2 Pack, 51 x 66 cm)","£14.58","4.5 out of 5 stars","893"
"13","Pillow","Casper Sleep Original Microfiber Pillow for Sleeping, Standard, White","£41.66","4.3 out of 5 stars","6,026"
"14","Pillow","Silentnight Pillow, White, Pack of 2","£14.40","4.4 out of 5 stars","576"
"15","Pillow","BedStory Shredded Memory Foam Pillows Pack of 2 for Sleeping, Cooling Bed Pillows with Adjustable Loft for Neck and Shoulder Pain, Luxury Hypoallergenic Hotel Side Sleeper Pillow - 50x75 cm","£7.20","4.3 out of 5 stars","178"
"16","Pillow","Sofslee Pillows 2 Pack , Hotel Hypoallergenic Bed Pillows for Neck Pain, Luxury Sleeping Pillows of 2 for Side and Back Sleepers, Down Alternative Fluffy Soft Pillow Standard Size 42 x 70cm","£16.19","4.3 out of 5 stars","3,200"
"17","Pillow","TEMPUR Comfort Pillow Cloud 74cm x 50cm - With Extra Soft TEMPUR Material Micro-Cushions - Made from NASA Recognised Supportive Memory Foam TEMPUR Material - Made in Denmark - Removable Washable Cover","£22.49","4.4 out of 5 stars","534"
"18","Pillow","DreamyBlue Premium Pillow for Sleeping - Shredded Memory Foam Fill [Adjustable Loft] Washable Cover from Bamboo Derived Rayon - for Side, Back, Stomach Sleepers - CertiPUR-US Certified","£9.58","4.4 out of 5 stars","2,721"
"19","Pillow","Utopia Bedding Pillows 2 Pack, (UK Standard, White) Hotel Quality Pillows, Luxury Bed Pillow for Back, Stomach or Side Sleepers","£4.79","4.5 out of 5 stars","11,341"
"20","Pillow","CareDeep Soft Support Pillows 2 Pack Bounce to Back Pillows Sleep Positions Machine Washable Anti Allergy Pillow, Hollowfiber Filling Bed Pillow Hotel Quality Comfort at Home","£25.99","4.1 out of 5 stars","359"
"21","Pillow","Sweetnight Bed Pillows 2 Pack- Neck Pillow For Sleeping,Hotel Quality Pillows For Side Stomach And Back Sleepers, 48 X 74 cm (2 Pack)","£49.99","4.4 out of 5 stars","5,509"
"22","Pillow","SUFUEE Goose Feather and Down Pillows Pair, Luxury Pillows with 100% Cotton Cover, Medium and Soft Firmness, Hotel Quality(48X74cm)","£25.00","4.3 out of 5 stars","1,747"
"23","Pillow","Maxzzz Pillows 2 Pack, Luxury Pillows Hotel Quality, Soft Pillows for Sleeping with Breathable Mesh Side, Bounce Back Bed Pillow, Support Pillow Down Alternative Microfiber Filling (Standard Size)","£54.99","4.4 out of 5 stars","77"
"24","Pillow","BedStory Pillows, Sleeping Pillows 2 Pack Hypoallergenic Anti-Dust Pillow Down Alternative Quality Bamboo Pillows for Stomach Back and Side Sleepers Standard Size Washable","£19.16","4.4 out of 5 stars","61"
"25","Pillow","Martian Dreams Luxury Hotel Pillows (2 Pack) - 100% Hypoallergenic Ultra Soft Microfibre Filling (50x75cm)","£9.58","4.6 out of 5 stars","3,842"
