"","category","name","reviewer","review","date","ratings"
"1","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Just like in a hotel such as premier inn, these pillows are exactly what I wanted. Soft but supportive and comfy. Relatively good value for money.","Reviewed in the United Kingdom on 2 March 2024","4.4 out of 5 stars"
"2","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","Really nice great quality 👌","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"3","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Brilliant pillows, soft, comfortable and easily to go to sleep on.Would recommend them.","Reviewed in the United Kingdom on 2 March 2024","3.0 out of 5 stars"
"4","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Zain","replaced old pillows very comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"5","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Annette Sherwood","great pillows, put them on my bed and had the best nights sleep ive had for years.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"6","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","gus","Pillows compressed within a month and became less comfortable.Delivered in a permeable fabric bag without any other packaging so not very hygienic.","Reviewed in the United Kingdom on 22 February 2024","4.0 out of 5 stars"
"7","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","dillydally","Like sleeping on a cloud.","Reviewed in the United Kingdom on 26 February 2024","5.0 out of 5 stars"
"8","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","My pillowcases doesn’t fit the pillows properly I had to squeeze them in?. I will have to purchase knew pillowcases bigger ones for comfort.Overall the pillows where comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"9","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Joanne bennett","I got these a couple of days ago and so far I am liking them, they are soft and comfortable. Can't comment on how long they will hold their shape for though","Reviewed in the United Kingdom on 19 February 2024","3.0 out of 5 stars"
"10","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Christine Lyttle","Very nice","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
"11","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Just like in a hotel such as premier inn, these pillows are exactly what I wanted. Soft but supportive and comfy. Relatively good value for money.","Reviewed in the United Kingdom on 2 March 2024","4.4 out of 5 stars"
"12","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","Really nice great quality 👌","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"13","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Brilliant pillows, soft, comfortable and easily to go to sleep on.Would recommend them.","Reviewed in the United Kingdom on 2 March 2024","3.0 out of 5 stars"
"14","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Zain","replaced old pillows very comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"15","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Annette Sherwood","great pillows, put them on my bed and had the best nights sleep ive had for years.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"16","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","gus","Pillows compressed within a month and became less comfortable.Delivered in a permeable fabric bag without any other packaging so not very hygienic.","Reviewed in the United Kingdom on 22 February 2024","4.0 out of 5 stars"
"17","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","dillydally","Like sleeping on a cloud.","Reviewed in the United Kingdom on 26 February 2024","5.0 out of 5 stars"
"18","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","My pillowcases doesn’t fit the pillows properly I had to squeeze them in?. I will have to purchase knew pillowcases bigger ones for comfort.Overall the pillows where comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"19","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Joanne bennett","I got these a couple of days ago and so far I am liking them, they are soft and comfortable. Can't comment on how long they will hold their shape for though","Reviewed in the United Kingdom on 19 February 2024","3.0 out of 5 stars"
"20","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Christine Lyttle","Very nice","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
"21","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Just like in a hotel such as premier inn, these pillows are exactly what I wanted. Soft but supportive and comfy. Relatively good value for money.","Reviewed in the United Kingdom on 2 March 2024","4.4 out of 5 stars"
"22","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","Really nice great quality 👌","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"23","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","A&N","Brilliant pillows, soft, comfortable and easily to go to sleep on.Would recommend them.","Reviewed in the United Kingdom on 2 March 2024","3.0 out of 5 stars"
"24","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Zain","replaced old pillows very comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"25","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Annette Sherwood","great pillows, put them on my bed and had the best nights sleep ive had for years.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"26","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","gus","Pillows compressed within a month and became less comfortable.Delivered in a permeable fabric bag without any other packaging so not very hygienic.","Reviewed in the United Kingdom on 22 February 2024","4.0 out of 5 stars"
"27","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","dillydally","Like sleeping on a cloud.","Reviewed in the United Kingdom on 26 February 2024","5.0 out of 5 stars"
"28","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","David","My pillowcases doesn’t fit the pillows properly I had to squeeze them in?. I will have to purchase knew pillowcases bigger ones for comfort.Overall the pillows where comfortable.","Reviewed in the United Kingdom on 11 January 2024","5.0 out of 5 stars"
"29","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Joanne bennett","I got these a couple of days ago and so far I am liking them, they are soft and comfortable. Can't comment on how long they will hold their shape for though","Reviewed in the United Kingdom on 19 February 2024","3.0 out of 5 stars"
"30","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","Christine Lyttle","Very nice","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
