"","category","name","price","ratings","no_of_reviews"
"1","Socks","Men's CLSSC Sock (Pack of 5)","£31.49","4.7 out of 5 stars","82"
"2","Socks","(12-Pack) Smart Mens Socks - Breathable Plain, Patterned, & Black Socks Men - Cotton Socks Men Suitable for Work and Casual Wear - Soft, Insulated Mens Ankle Socks with Reinforced Heel & Toe","£6.30","4.5 out of 5 stars","31,251"
"3","Socks","Mens Socks Cushioned Work Socks Walking Socks Womens Crew Athletic Socks for Outdoor Hiking Trainer Running","£10.34","4.6 out of 5 stars","2,218"
"4","Socks","12 Pairs Mens Cotton Rich Sport Socks Work Socks Shoe Size 6-11 (Black)","£0.86","4.2 out of 5 stars","3,791"
"5","Socks","(10-Pack) Plain Mens Socks - Comfortable Charcoal, Navy & Black Socks - Cotton Socks Suitable for Work & Casual Wear - Breathable, Stain Resistant, Durable Smart Dress Sock","£13.74","4.4 out of 5 stars","14,836"
"6","Socks","Men's Solid Cushion Comfort Cotton Crew Socks, Pack of 5 Pairs","£9.99","4.5 out of 5 stars","5,685"
"7","Socks","Mens Socks 6 Pairs, Cushioned Men Women Socks, Anti-Blister, Anti-Odour, Moisture-Wicking, Breathable Cotton Socks for Trainer, Running, Sports, Walking, Working, Cycling, Hiking","£0.83","4.4 out of 5 stars","1,789"
"8","Socks","Mens Socks Wicking Breathable Cushion Comfortable Casual Crew Socks Outdoor Multipack Performance Hiking Trekking Walking Athletic Socks","£8.54","4.3 out of 5 stars","4,776"
"9","Socks","Black Socks for Men in Heel and Toe Style, Men’s Socks Multipack 6-11 UK, Pack of 6 and 12 Pairs","£0.85","4.4 out of 5 stars","10,297"
"10","Socks","Sports Socks (Pack of 6)","£10.82","4.7 out of 5 stars","17,134"
"11","Socks","12 Pairs Mens Socks 9-11 Multipack Colourful Funky Dress Cotton Cool","£2.16","4.6 out of 5 stars","3,268"
"12","Socks","Mens Black Colour Heel and Toe Socks - 12 Pack - Comfortable, Everyday, Cotton Rich Breathable Socks - Mens UK Shoe Size 6-11","£13.32","4.5 out of 5 stars","1,239"
"13","Socks","5 Pairs Womens Cute Dog Patterned Animal Socks Colorful Funny Casual Cotton Novelty Crew Socks Christmas,One Size","£2.22","4.5 out of 5 stars","6,038"
"14","Socks","Bamboo Trainer Socks for Womens and Mens, No Show Ankle Socks Low Cut Invisible Non Slip Liner Socks Multipack Casual Footies for Sneaker Loafers and Boat Shoes","£15.82","4.5 out of 5 stars","745"
"15","Socks","12 Pairs Mens Heavy Duty Work Socks Shoe Size 6-11 Safety/Steel Toe Boot Socks","£16.99","4.5 out of 5 stars","7,307"
"16","Socks","Men's Smart Durable Socks 6 or 10 Pairs Cotton Socks","£2.83","4.5 out of 5 stars","3,734"
"17","Socks","Men's Performance Cotton Cushioned Athletic Crew Socks, 6 Pairs","£21.99","4.5 out of 5 stars","4,909"
"18","Socks","Mens NIKE 3 pair pack white cotton cushioned sport socks, Shoe 8-11, White","£6.99","4.6 out of 5 stars","4,428"
"19","Socks","Men's Sport Performance Socks (6 pair pack)","£1.17","4.0 out of 5 stars","532"
